Time,Average Speed,avespeed1_10,avespeed11_20,avespeed1_5,avespeed6_15,avespeed16_20,F(λ_1),F(λ_2),F(λ_3),F(λ_4),F(λ_5),F(λ_6),F(λ_7),F(λ_8),F(λ_9),F(λ_10),F(λ_11),F(λ_12),F(λ_13),F(λ_14),F(λ_15),F(λ_16),F(λ_17),F(λ_18),F(λ_19),F(λ_20)
82.0,80.15,85.83,75.29,85.67,81.62,66.0,247.86845566750105,-34.19375071367719,-8.960853335357749,-34.35548651124216,-33.92704348736824,-37.056777040718906,-80.2013480554002,20.175260527526543,-120.38845417508034,-22.68059547088416,-102.5749076796964,-77.30435454682733,24.328479179063635,-47.09049371795622,25.5322220165676,70.82290716121287,-8.48522882870143,-25.907617541381747,-31.286919472909247,-1.1251799213565725
83.0,76.43,76.67,76.25,83.0,76.75,72.5,138.6752977296598,-33.87921483414141,-37.02341416465216,-59.62409765979818,-15.563438764305513,-78.33632836416805,-21.930370336612928,70.22251159477574,-4.085281030186859,-2.9038188010145856,-24.405846756401758,54.32117048587352,-87.3373260947757,90.45035462601282,12.774276823874406,23.252680977019914,-48.85057473516095,-63.0007805050057,-70.60497593799661,75.35655518138505
84.0,76.33,81.83,70.83,84.0,74.12,77.5,225.0978350861215,-31.444710041111865,20.541446949651466,-24.62424816485977,-38.83477141250112,-59.89170176076105,31.881251074856316,0.7861363498857337,-9.414426828361538,-103.42491743227863,-50.97835790140462,-123.14795907982462,-59.785850518819856,5.363520853070579,75.60949181447211,9.878075554069529,-42.18276333195354,-57.57185853069779,-39.262028120629566,9.447045247794044
85.0,78.22,85.25,72.6,84.0,76.2,77.5,193.14185376537503,0.8656193431661912,-45.73876256464798,-59.32480424115012,-72.715363931907,-50.62348288871879,-28.993538420539835,69.80613873983114,-121.6599651330197,-61.9521525773301,12.508491104156384,-32.538147280765905,6.116803017131119,84.65697291192679,-25.14644325189827,54.285739159227134,-78.80405149149058,-5.227165231087778,15.719211701643134,10.526929604407089
86.0,76.27,80.2,73.0,84.75,74.83,73.5,342.23029195381815,-33.066691002714705,-44.609547392417774,-39.79886892790089,-60.84727151732657,-36.91189212707562,-38.96178032632291,2.9327874689084332,-4.638791549606331,-6.255846133502089,-63.29341329610577,-47.34884603196598,-57.15219785493539,35.77326854228621,14.700853909223499,9.365981866730447,-15.072330633558398,-14.340970945076549,-55.899608617576035,44.37785841919178
87.0,82.92,85.8,80.86,85.0,86.33,74.0,242.56126365593647,-15.210990750100205,-28.787217084174383,-121.0746188354811,-69.686618915767,-40.29828410967161,-1.526586623702359,92.30985053851421,-86.3586465414914,8.28691895022439,-24.15999154248989,29.13228543974173,9.597015618789557,47.573033966774446,12.452844206585848,44.17712993086907,-68.88419864044388,-73.14722145869865,24.424256381402962,46.6402269304763
88.0,78.16,82.5,75.0,85.75,76.22,76.0,280.2717397345535,0.7089708475011474,-84.57588143666456,-20.897099913291,1.9737360271064226,-14.400201055284462,-23.222956568751194,21.737574111647778,-11.326834340643119,24.16112671051689,-20.33639020778201,-116.53982397799344,-83.78640459447433,4.45634963952468,46.88327070546575,35.73782028050387,-25.658779590202975,-67.58719972606085,-83.37583138923584,44.1253852424463
89.0,80.6,85.25,77.5,85.67,80.5,75.67,211.9499879109908,-19.53760049224958,-75.60150399301455,-25.053853805598223,-49.0595152774967,-12.054694025183878,-51.90509782033362,79.2806364947462,-76.94660738151715,-54.181847808491966,-161.55712763537565,33.717481054852904,16.56298497076323,15.585997331008961,38.081007152166436,44.13122864040116,4.799786907472338,-27.88538548151196,-22.04814257444505,27.887758376162605
90.0,81.2,85.9,76.5,86.2,80.38,78.57,305.5122458130907,-44.66477019802463,-68.62326395229243,-20.41954578098851,-59.02498858782035,-28.67566439213692,-69.95049223830434,39.81243790968915,-21.27163772986193,-21.530248984749598,46.523040298689956,-15.44832254343709,-101.17017024744405,28.62216376604003,38.43637112250349,25.664306205520823,-102.10514790294467,-22.326783984969385,17.663510664986855,17.239607509725722
91.0,81.5,87.25,75.75,87.0,82.0,68.0,177.61635086458242,-57.22058780119405,-10.229348093630255,-30.034898739315395,-15.297703887615297,-20.832501620048117,-45.477758145457116,-27.913938908511064,-17.02385451389938,-41.10817297843088,-149.0606166082425,-83.40123098866323,-59.794099159073504,3.8508970644942693,69.10378726882942,58.1553356815389,-1.2786790437517528,-46.20520286475269,-93.41233503976414,-32.56666418306109
92.0,82.84,86.0,79.33,84.4,86.56,74.6,332.40955226724935,-7.0133980073005056,-54.42804882408903,-30.347660880951825,-35.0711026798251,-46.81740214624338,-51.02325675735574,23.087614870272855,-109.80401617730226,-61.86335341650157,-0.6094595130279679,28.841037855722053,-30.23886107115473,25.672389310016356,11.368372476924058,33.54929788793376,-30.19948454123501,0.4373232340485771,-67.71034781781364,79.08682854638641
93.0,75.36,75.5,75.2,81.0,70.67,81.0,203.3868387553719,-52.68085437347884,-37.14351005226435,-29.21388221098295,-61.800660061469465,-80.01437344214568,-36.598200538033936,60.32842999937989,-42.118545441924844,15.796808847362884,-21.331994555488226,-98.97477825527838,-90.19744365460949,55.81437147041511,55.68263699119292,-10.115522591858308,-15.224470564197869,-62.99932341400854,61.48543197782304,40.04283623953234
94.0,78.56,83.44,73.67,81.75,77.67,77.6,298.2496653634097,-43.159786068098185,-4.008665710737205,-17.461869186382327,-49.33684193083594,-19.328800196178094,40.76625828543506,40.659047880270236,-7.921882240181427,-48.98596737459573,-77.73716887466233,-21.71792514113239,-47.57445883972109,-1.3878612334293958,57.37052225162264,71.22964996283181,-89.47140289820602,-45.32479509004008,-91.44066046768148,-17.330198639213105
95.0,76.89,82.8,69.5,83.0,74.33,80.0,192.01107917023478,-56.168302088334855,-3.314226951738764,-64.05976762493519,-88.84097118460006,3.9917091558058324,-61.2417686470461,75.1608402139609,-96.05826917552034,-44.02187018072459,-30.840581531465986,-53.7491183582323,-47.590949417832576,82.93795381605983,-28.694785593237548,-26.21383538959025,-5.051857603562766,-38.12213734069558,-6.770966650167988,88.77399892848231
