Time,Average Speed,Frambda1,Frambda2,Frambda3,Frambda4,Frambda5,Frambda6,Frambda7,Frambda8,Frambda9,Frambda10,Frambda11,Frambda12,Frambda13,Frambda14,Frambda15,Frambda16,Frambda17,Frambda18,Frambda19,Frambda20,
87,66,267.7146547,70.83625912,16.22922053,37.26659639,15.22375652,3.045831725,18.65668359,27.84617684,8.260070033,20.5496494,28.93510655,4.082492035,7.329461738,43.45629382,19.5347548,27.23629442,19.6307245,4.405556069,6.47914451,22.23981945,1.673733291
88,63.33,169.1148013,19.59311941,36.46251119,18.12812972,23.94900717,15.46936148,6.171730643,28.72145788,23.74541904,13.00556362,41.43103271,58.36649406,21.0536707,18.08500995,51.07644629,73.71524756,58.85482458,6.781827991,49.8066045,1.570504652,0.980232939
89,66.14,283.9041887,46.06499976,32.44957439,4.717248396,17.66278519,21.63041424,41.03741367,29.60198948,22.60979521,16.52381356,1.256530855,8.867734554,20.8528446,22.09079531,0.281067812,21.96287722,21.07508728,15.44999368,28.16082997,28.14896294,1.707346126
90,63,128.0628917,29.52853378,11.26628268,21.30552605,6.351318444,13.28529665,34.71087539,24.34018747,19.4459669,15.04930018,1.522141158,8.216224999,7.457060641,2.149857277,80.53379686,37.36187397,90.71542543,50.10526142,21.61553559,18.40217093,1.035919929
91,66.53,254.0244777,38.7345577,11.01631844,11.21158441,47.89139261,32.99890013,6.817175908,15.58011092,27.22862788,9.373439336,51.90637678,22.68497975,54.31350897,28.56153656,20.09655871,4.785198143,50.63014791,31.68178861,0.85742167,17.46145055,1.419222962
92,59.08,168.1279661,12.50812615,18.91253439,32.05307876,23.43447464,24.14959819,6.431264453,8.792333976,36.46328353,4.975227456,28.88402634,29.22043471,69.6760322,86.28273935,30.71604545,3.139819211,7.786775095,37.83255901,51.03969532,9.704633151,1.079130973
93,66.61,233.3158013,59.42927545,24.5090132,42.0579101,36.61998595,15.81746452,29.06838854,16.18231315,29.83873178,4.599080923,23.23555193,8.910882749,43.26603763,61.40168957,14.9622935,31.33137022,12.02464202,37.72669777,21.97492864,8.488382153,1.257684604
94,59.42,161.4903946,24.37490566,26.09951289,1.46905048,48.59479997,54.93025129,20.75798836,3.327922033,16.68005476,15.67701932,28.19415476,12.62904858,3.015458453,76.64180586,40.48168907,3.010638732,13.64179487,5.749566117,11.03294761,58.25331431,1.158990005
95,63.43,247.7352257,36.1716527,59.51588265,0.055562292,0.010993356,34.88781856,40.73133927,50.62888865,46.97943974,38.49933874,30.25480706,3.199788668,10.71203824,12.12212231,8.31707002,29.08625535,14.69513787,16.80144526,10.82986239,1.726792025,1.500572119
96,58,143.6794657,21.60908317,28.34418168,1.84876849,3.136828017,26.49697576,30.02896792,67.91699772,9.501282864,8.514893354,46.45984686,64.33684519,3.946114634,41.66653412,2.406422531,12.04344034,14.76293987,4.46055301,59.29705783,30.67649204,1.065779645
97,63.64,243.7794927,19.66186511,29.46875848,43.04295784,45.86599306,13.92215525,12.78312585,21.32908677,5.572353363,44.3645725,70.30181421,56.07853161,24.49231694,1.308803468,11.90279041,14.81824323,1.087132928,12.2202029,17.08582837,13.72278518,1.457096754
98,63,170.8849109,7.004336898,14.44097345,63.91723185,5.103064087,2.743299459,25.02839239,15.7424987,7.086464939,4.495845716,19.78099737,81.6638796,79.15945962,7.130592291,14.09007906,9.025033512,10.49981433,7.399107553,13.55881625,48.8357405,1.326017934
